18	18825302	glargine			
28	18931836			diphenol	
29	18931836		SDS		
30	18931836				tyrosinase
41	18825368		AVP		
61	18850007		histone deacetylase;TSA		
114	18825527		Cl2		
124	18940228	glucose-6-phosphate			
130	18923851	heme			
147	18940247		NAC		
152	18829372		RBCs		
175	18850267				protein kinase A;calmodulin
206	18850325	mannitol 1-phosphate			
207	18942727				NCS
250	18940794	Copper			
260	18824011		adenosine 5		
269	18842620				CYP1A1;CYP1B1
278	18940938		AMP		
283	18818063	alanine			
314	18826425	tryptophan			
373	18842954		Ca2;Ba2		
392	18834868	NADPH			
398	18834871			glucose	
409	18834946				HSP
426	18941467		androgen receptor		
479	18832330	N-methyl-D-aspartic acid		MK-801	
499	18923823		ICP;SDS		
508	18925359		PI3K		
549	18941818	tartrate			
552	18851710		PAI-1;plasminogen activator;vWF		
555	18843519		SDS		
570	18835350	cholesterol			
595	18819019		cis		PPIase
599	18932046	nitrate			
667	18930714	guanine			Rac1
668	18930714				small G-protein
670	18930714		INS		
691	18940183		IL-10		
692	18940183		IL-10		
698	18835662	TSST			
740	18852217		DEX;sst		
761	18854307				TnI
766	18827741		CLP		
791	18930779	GSH			
801	18832480	flutamide			
810	18844240		SFN		
812	18844240		ACCs;SFN		
813	18844240		ACCs;SFN		
823	18930650	N-(3-dimethylaminopropyl)-N-ethylcarbodiimide;hydrochloride			
827	18819713		LPO		
842	18844326	rosiglitazone			
874	18945930		Tyr;Arg		
875	18930813	manganese			
927	18836482	phosphatidylinositol		PI3K	
944	18820127				Hsp90
945	18820127		negative regulator of mitosis		
956	18926641		dex;CRH		
1012	18926806	RAR			
1021	18836710	vitamin D			
1046	18836740		SUR1		
1083	18853207	glucose-6-phosphate			
1098	18853234	GOx;		phosphorylcholine	
1100	18836851				OLIG2;APC;NG2;CNPase;GFAP
1121	18845148	phosphotyrosine			
1126	18836996		TSA		
1144	18845237	sulfoxide;methionine			
1160	18926807	aka;succinic semialdehyde;NAD	SSA		
1221	18845389		PKC;LTA		
1248	18845486		Gal-3		
1305	18845633	somatostatin	BIM		
1312	18845639		EGP		
1316	18845640	cholesterol			
1325	18845645		CBX		
1335	18931023		NOS		
1375	18837522	dUTP			
1413	18837652		NAC		
1434	18845907		insulin		
1435	18845907	LCM			
1448	18936109		ABT		
1462	18854222		RPE		
1464	18854222		RPE		
1511	18821579		histone deacetylase		
1536	18838074		Ca2		
1553	18832826		angiotensin		
1561	18846318		PRP		
1603	18936517		TPA		
1623	18838266		RIF		
1626	18846462	GSH			
1647	18846552	penicillin			
1665	18936772		THP		
1668	18822097		Cob		
1671	18822099	diacylglycerol			
1716	18854987		PFC		DA transporters
1732	18936931			diltiazem	
1733	18936931			diltiazem	
1737	18936191	5B	NS3 serine protease		
1738	18936191		NS5B;Hsp90		
1754	18936994		SDS		
1773	18945217	HFS	LTP		
1780	18838739	sn-2 	Ca2		
1791	18937061	methylene;Zn(II			
1799	18937079		HCC;PI3K		
1821	18830680		myc		
1835	18830722	IET			
1843	18830730	glucose-6-phosphate			
1865	18937289	AGP			
1871	18923087		ARA		
1886	18839053	alanine			
1934	18855522		PLP		
1941	18839150		CFA		
1942	18839150		p38		
1946	18839155		ACTH		
1953	18839173		CYP3A4 	rifampicin;hyperforin	
1971	18831007				neutral protease
1985	18831035		Asn		
2002	18831052	AU;Coenzyme A;3-methylglutaconyl-CoA 			
2007	18945756	Adenosine	ADP		
2012	18838483			hydroperoxide	
2013	18838483			arachidonic acid 	
2031	18929429	ascorbate			
2042	18839328		PTH		
2063	18855762		 Ca2		
2126	18855935	Na			Ca2
2128	18855936	kainate			
2132	18855942	choline			
2134	18855943		MRP1		
2180	18938111		MDP		
2183	18823436		COX-2		
2184	18938126	MS3			
2186	18938128		AMP		
2196	18938163		IGF		
2204	18938187			GABA	NR2A
2214	18930039	creatine			
2225	18930084		CPPs		
2243	18823687		angiotensin		
2255	18823722		Cys;Asp;Tyr		
2262	18823727		GCG		
2301	18823890	Cu;hs	TRP;SOX		
2304	18823890	Cu;hs			
2311	18832097		STS	1,25-dihydroxy vitamin D	
2365	18840413	GSH			
2367	18930149		protein kinase C;PKC		
2371	18824036	Dopamine			
2377	18840446		aromatase		
2380	18848644	resorufin			
2381	18930565	glucose;phosphate			
2382	18848646		LRR		
2383	18848646		LRR;embryonic		
2442	18848748		TPA		
2447	18922514			glycine	
2448	18930712	flavin			
2450	18848797	alanine			
2455	18840610				TEM-1
2484	18832476		cytochrome P450;UGT		
2496	18930802		Vit		
2542	18840759				GLUT4;Akt
2545	18840765		Neu		
2557	18840785				GLP-1 
2571	18849028			arginine	
2605	18824524			valsartan;losartan	
2615	18849120		HPA		
2620	18931047		Ca2		
2637	18849171	apamine	m 1		
2653	18826484	NADP	Cvi		
2674	18849325	lactose			
2678	18923065	sGC	protein kinase	ODQ	
2679	18849352	tyrosine	EGF;EGFR		
2685	18848359	Serotonin			
2705	18923147				DDAH
2719	18923162		CD44		
2724	18931380			glycidamide	
2744	18849565	Chondroitin			
2754	18837470		Pol		
2761	18841409	Mn			
2766	18851994		acetyl-CoA		
2771	18829287			nitric oxide;dopamine	
2778	18841470		NaN		
2780	18841471		CAG		
2790	18923402		monoamine oxidase 		
2791	18923405	glutamic acid			
